date,google_search,google_shopping,google_pmax,google_display,google_video,meta_facebook,meta_instagram,meta_other,first_orders,revenue,all_orders,all_revenue
2021-11-22,103209.0,102361.23,0.0,31252.03,62702.59,1951331.49,26325.62,107.98,517,19473450.0,762,29963446.0
2021-11-29,123874.0,110542.87,0.0,34497.32,67088.6,2552948.36,43404.7,37.0,858,30739845.0,1280,48459984.0
2021-12-06,184649.0,208380.09,0.0,35810.73,68872.77,3211857.98,49801.78,9.17,1045,34865010.0,1461,53055506.0
2021-12-13,135479.0,121777.11,11267.17,36045.36,53806.13,3526830.4,49964.03,37.59,1427,46135430.0,1963,69655690.0
2021-12-20,115653.0,18202.120000000003,48006.43,29336.38,65441.659999999996,5633129.28,50794.72,7.0,1247,40091708.0,1867,66038852.0
2021-12-27,118582.0,29612.690000000002,180351.61,20568.93,55477.66,4220131.98,38891.0,27.0,699,22594935.0,1083,38234979.0
2022-01-03,152145.0,62547.149999999994,162404.56,28736.43,67660.6,4160850.98,46895.0,41.0,705,24145376.0,1086,39764548.0
2022-01-10,175717.0,6491.200000000001,279501.43,42563.84,95326.31999999999,4644903.37,28336.63,6.0,739,25066490.0,1097,38846275.0
2022-01-17,272244.0,5782.98,330750.74,39360.5,93999.77,4905326.75,22039.239999999998,1.0,597,20917075.0,880,31444160.0
2022-01-24,206855.0,7848.33,260784.72,25019.61,93460.88,3713868.22,16232.85,8.0,582,19950800.0,889,31521212.0
2022-01-31,264894.0,23139.86,208604.13999999998,0.0,99769.01,3533361.5,43846.51,14.0,682,24508280.0,1054,40569661.0
2022-02-07,379374.0,27634.78,167566.72,40102.53,160809.47,3852492.59,40177.42,0.0,607,20638045.0,938,35097689.0
2022-02-14,184281.0,30356.19,158836.78,36053.96,129275.06999999999,4367480.22,40349.8,0.0,556,19927836.0,830,31280643.0
2022-02-21,93849.0,51339.1,90814.09,37009.630000000005,127659.62,4331669.0,35495.0,2.0,602,23507591.0,962,40594136.0
2022-02-28,70990.0,64612.34,29842.739999999998,6401.56,104144.67,3990278.02,30277.0,0.0,644,26457210.0,994,42683613.0
2022-03-07,26703.0,63508.5,10719.26,58817.0,147687.41,4419484.0,28173.0,0.0,451,17703360.0,711,29644771.0
2022-03-14,81034.0,24814.68,29649.85,37654.38,146222.52,3620233.5300000003,25444.48,0.0,412,16061960.0,651,26048007.0
2022-03-21,116385.0,256.94,56824.0,33492.44,143586.4,2225194.0,13234.0,0.0,387,17941170.0,662,30586481.0
2022-03-28,83527.0,13132.0,75806.96,24314.06,142260.08,3237461.99,29382.0,2.0,522,26051400.0,798,39507458.0
2022-04-04,164728.7,88411.0,294433.11,23795.9,158222.46,4016914.01,31587.0,36.0,504,24474590.0,795,38166734.0
2022-04-11,154327.24,16201.0,497680.13,25353.670000000002,164198.14,4586470.69,35716.32,0.0,512,26486043.0,780,40981772.0
2022-04-18,42687.0,20385.879999999997,458047.08999999997,29872.95,161352.95,4238083.0,25702.0,0.0,462,25099210.0,804,43936123.0
2022-04-25,46776.0,14770.48,483667.91000000003,25180.25,158715.84,4771066.04,25178.96,7.0,564,31197210.0,940,53714562.0
2022-05-02,51812.0,14789.92,209787.9,11792.77,67152.93,5135709.52,20782.46,5.0,601,31283990.0,1031,56357717.0
2022-05-09,88278.0,55331.24,352024.14,35945.52,218738.72,6113551.02,17045.98,0.0,582,31399966.0,990,55364200.0
2022-05-16,96011.0,37786.8,611746.0700000001,27607.72,156583.72,7251177.18,17168.82,0.0,555,27997030.0,896,46461878.0
2022-05-23,169072.85,485767.03,969701.21,41226.44,142552.46,11011834.17,12477.91,13.0,1013,50674480.0,1703,89445685.0
2022-05-30,446165.02,1233383.32,951032.83,104453.48000000001,127252.14,23143378.98,27370.0,43.0,2492,113974910.0,3696,171275691.0
2022-06-06,155255.0,188599.78,553849.49,27431.989999999998,155709.03,5185376.25,24916.760000000002,29.0,449,18475739.0,797,35653945.0
2022-06-13,164989.0,118074.23,728188.05,24518.89,139934.63,4713541.29,16118.7,49.019999999999996,686,29801316.0,1263,58560685.0
2022-06-20,142972.07,73614.56999999999,927037.91,22845.65,138702.7,5265292.91,22911.09,74.0,497,24381670.0,887,44508804.0
2022-06-27,169720.53,0.0,1119225.51,22684.87,138524.25,5730254.9,21293.13,57.0,505,22853544.0,847,40640980.0
2022-07-04,190542.49,0.0,1416536.74,26721.22,155293.55,6008432.08,32958.91,46.0,526,24366926.0,868,41931706.0
2022-07-11,168342.35,0.0,1442204.08,32585.91,149822.93,6265166.92,33599.07,87.0,647,27494561.0,1126,50610368.0
2022-07-18,195428.0,0.0,1582721.039999999,106957.27,149131.32,6468339.07,54493.94,107.0,577,24020850.0,956,42871842.0
2022-07-25,151008.73,0.0,1083093.92,91115.82,143725.6,6945746.8100000005,113247.18,203.01,610,28235949.0,1032,49578303.0
2022-08-01,172536.02,0.0,1124847.13,93761.22,111762.65,7000370.35,78961.66,596.01,727,33804796.0,1266,63788414.0
2022-08-08,170011.54,0.0,921910.71,89204.09,111838.07,7698681.93,107647.06,365.0,559,24604520.0,924,43084193.0
2022-08-15,137324.0,0.0,728736.35,93364.66,111103.65,7368570.08,97863.93,962.0,492,22796562.0,821,41040533.0
2022-08-22,131648.0,0.0,454078.8,88222.92,101206.49,6801933.88,111283.12,588.0,405,17004790.0,721,32989311.0
2022-08-29,106240.32,0.0,452018.28,67056.0,95317.17,6203545.33,188176.66,563.0,451,18721256.0,800,35644475.0
2022-09-05,75924.84,0.0,637687.42,35476.24,12873.98,6641396.6,134981.39,449.01,570,25146486.52452424,947,43853226.52452424
2022-09-12,84388.12,0.0,751378.74,33003.94,421.79,6950515.65,132377.37,471.0,459,20867140.0,773,36921906.0
2022-09-19,74181.67,0.0,788709.1799999999,39384.26,421.69,7183748.46,134396.54,679.0,550,29102990.0,914,49266062.0
2022-09-26,124039.8,0.0,1102888.5,29041.690000000002,47901.89,10569840.65893358,155985.34,920.01,1131,52853410.0,2045,104255002.99019316
2022-10-03,239696.74,0.0,610706.19,98073.76,112487.83,15591778.17,117306.85,1984.0,2159,91053646.0,3672,158276071.0
2022-10-10,77065.0,0.0,315990.99,23443.07,111433.13,4340462.23,112965.8,1537.98,280,11072268.0,520,21268494.0
2022-10-17,76030.0,0.0,397788.89,22467.82,111549.1,4503006.62,182991.64,996.75,321,11964464.0,611,24771332.0
2022-10-24,78494.0,0.0,532774.4,22078.53,110245.23,5330661.52,221998.81,1486.76,366,13890170.0,755,33457541.0
2022-10-31,92999.98,0.0,553087.49,23102.64,99719.23999999999,6145137.86,253912.18,644.0,349,13336491.0,694,30801046.0
2022-11-07,91038.0,0.0,577955.16,24705.69,0.0,5692804.64,290849.37,26714.0,396,15561811.0,769,33186630.0
2022-11-14,86483.68000000001,0.0,599552.38,22390.02,0.0,6277068.47,375525.52,1155.0,545,21389436.0,962,40955567.0
2022-11-21,114852.89,0.0,965528.86,27851.02,0.0,6418087.63,365675.36,1006.02,841,32834998.0,1383,59979308.0
2022-11-28,177315.47,0.0,985712.02,22625.68,48544.43,7886802.99,328820.25,1661.76,917,35346918.0,1521,62896458.99995728
2022-12-05,243925.08000000002,0.0,1494244.44,24906.51,127293.62,9535605.03,435482.0,1956.0,1372,52887266.0,2255,99659024.0
2022-12-12,424852.64,0.0,1657580.35,23348.03,131060.99,11828466.19,1652423.8,5242.0,2211,84104139.0,3499,157023318.0
2022-12-19,206246.41,0.0,1753163.230000001,20352.86,101972.09,12834998.64,2550103.34,6402.03,1761,64104505.0,3165,140721827.0
2022-12-26,113259.73999999999,0.0,898762.75,21884.46,128399.35,3243422.87,598989.16,1601.0,502,16331280.0,1027,36275596.0
2023-01-02,140900.35,0.0,744577.2000000001,37936.62,160951.04,3877870.29,833326.64,1789.02,550,21509467.9746628,1047,42772599.9746628
2023-01-09,155091.18,0.0,1143069.84,37146.28,144181.0,5220954.74,1390978.26,1954.0,561,20797310.0,1070,44799960.0
2023-01-16,166078.62,0.0,1156917.95,35605.56,127873.28,5668862.86,1917209.82,3661.3,614,22562190.0,1130,43994613.0
2023-01-23,165240.95,0.0,1116660.68,30636.27,127653.73000000001,6940957.99,1798803.9,5781.07,656,24407700.0,1212,47668938.0
2023-01-30,139070.15,0.0,1555518.58,43069.46,174183.25,7539643.93,1366663.31,6827.09,607,23796310.0,1156,48906862.0
2023-02-06,105386.45,0.0,1565413.87,42751.93,226605.01,6260196.83,1578921.43,4392.5,614,22941110.0,1112,44516630.0
2023-02-13,120058.95999999999,0.0,1305090.74,123577.18,237891.94,5564374.53,1743355.77,2628.71,447,17325215.0,862,35053496.0
2023-02-20,79512.7,0.0,1003475.84,94448.79,324413.7,4686473.96,1081355.64,465.39,398,16583450.0,770,35175786.0
2023-02-27,72807.54,0.0,908410.24,80271.72,254960.87,4222958.77,903168.53,641.7,465,20063190.0,907,43444383.0
2023-03-06,65735.81,0.0,932529.25,75994.76,225369.24,4022817.32,1459591.32,516.38,373,16664935.0,754,39313021.0
2023-03-13,54450.45,0.0,1009552.4099999999,78034.02,222680.95,3593113.46,751178.76,654.77,317,15554586.0,666,37010286.0
2023-03-20,60993.380000000005,0.0,972280.55,79073.84,220387.22,3385880.21,804570.24,358.57,257,11437187.7678646,499,24937343.7678646
2023-03-27,85641.13,0.0,529651.92,61826.35,205981.03,8124496.58,1047730.54,683.9300000000001,642,31377406.91051586,1467,76929630.99437284
2023-04-03,75231.85,0.0,235490.05,46991.92,162046.24,2858154.48,1356595.54,1154.99,344,17658618.0,684,38474071.0
2023-04-10,44717.42,0.0,143292.44,47355.04,247854.02,3065112.65,1676966.32,1454.02,368,21055871.0,769,46974231.0
2023-04-17,42967.91,0.0,127968.31,47858.54,246072.9,3589748.9,1890321.2,1595.8899999999999,404,24489593.0,789,49724280.0
2023-04-24,65764.42,0.0,251739.52,44599.240000000005,214132.01,4727608.5600000005,2236141.51,2811.96,430,26664310.0,893,58780977.0
2023-05-01,60546.48,0.0,259247.1,46721.54,195857.14,5558694.2,3010057.76,4861.05,596,36753430.0,1163,77397080.0
2023-05-08,74705.54,0.0,303286.57,45187.95,201623.48,7657060.88,3311922.13,6062.98,515,32443770.0,1074,73085445.0
2023-05-15,52990.69,0.0,292547.26,46875.2,199800.87,5477918.36,1822328.79,3728.92,355,21688690.0,761,49837743.0
2023-05-22,70428.15,0.0,280598.26,40569.01,203364.86000000002,10320305.79,1556445.33,3089.9300000000003,1525,94653892.43091397,2893,197753185.43091398
2023-05-29,123468.66,0.0,395281.72,28882.03,203569.21,13938079.65,2253982.84,5002.76,1989,113025670.0,3673,212845410.0
2023-06-05,99336.04,0.0,243684.8,25527.77,217813.97,3179428.76,769810.24,808.0,414,21890490.0,874,50081576.0
2023-06-12,85825.18,0.0,237876.47,23327.34,213109.41,4983312.15,1108530.81,2092.0299999999997,679,36398219.54693569,1351,75015779.00435407
2023-06-19,93114.86,0.0,303316.76,29144.27,207448.32,6211660.92,1519349.1400000001,2333.9700000000003,511,27736450.0,1065,60014946.0
2023-06-26,66620.94,0.0,285526.01,21303.43,198317.75,4888417.45,1258508.58,2427.98,660,35928270.0,1349,75556522.0
2023-07-03,68145.33,0.0,257760.62,39250.91,235305.02000000002,4547798.14,2198645.81,3490.01,765,40275442.0,1519,79192009.0
2023-07-10,88039.73,0.0,321383.53,52168.2,255250.61000000002,5401008.0600000005,2318296.91,2900.01,681,32004900.0,1337,65523856.0
2023-07-17,70234.16,0.0,368700.53,51093.2,257644.03,4784727.53,2386486.5,3271.02,602,30038910.0,1195,59512050.0
2023-07-24,41832.79,0.0,303954.92,47404.65,249447.59,3821219.02,1700026.04,1747.0,423,20582600.0,924,45509746.0
2023-07-31,93340.16,0.0,242388.34,64941.119999999995,167517.42,2750346.83,2075708.21,2436.98,408,18103550.0,930,45413020.0
2023-08-07,124355.95,0.0,139492.99,89433.9,158862.25,3391360.2300000004,1528068.77,1888.0,457,21426480.0,922,46781100.0
2023-08-14,192516.64,0.0,518936.99,76305.25,157615.74,2881759.28,1231535.72,1452.0,459,19631989.05940932,905,40482809.05940932
2023-08-21,105598.82,0.0,608759.89,72746.1,155756.04,3605584.5,2577315.1799999997,1999.31,577,22802256.0,1088,46810566.0
2023-08-28,90954.26,0.0,598768.66,75793.22,114847.54,3088606.27,1991782.75,2315.99,654,26529589.0,1343,62822099.0
2023-09-04,110447.02,0.0,673258.26,89025.77,65339.47,3524385.35,3150555.55,8252.1,681,27944303.0,1368,60383673.0
2023-09-11,69081.81,0.0,352674.55000000005,52433.770000000004,45963.18,2954113.08,3047727.45,9662.5,521,20964285.0,1069,50221915.0
2023-09-18,84608.58,0.0,629579.24,71539.18,80462.27,1938669.5699999998,1932003.74,9129.78,383,13883793.517776739,726,30757993.51777674
2023-09-25,139152.18,0.0,364969.91307601705,52188.81,58781.65,2934669.2199999997,5900863.49,13064.37,1273,48447045.0,2979,137426347.4390573
2023-10-02,206514.63999999998,0.0,1163552.15,56769.08,81946.89,3372504.0100000002,7352242.4399999995,10680.619999999999,2042,79239421.0,4372,183556551.0
2023-10-09,148901.5,0.0,513130.12,55921.78,105920.35,1873573.42,1734051.3900000001,8963.23,396,13697990.0,799,33083906.0
2023-10-16,120595.78,0.0,150853.63,54710.05,103562.93,2137920.5,1483202.18,7597.34,398,15176820.0,845,36474085.0
2023-10-23,113445.97,0.0,182162.53,52485.05,99439.32,1778659.57,1262381.05,17219.42,310,10620990.0,683,28488350.0
2023-10-30,104452.27,0.0,154762.35,50818.979999999996,91589.62,1641333.74,1351696.91,13145.36,371,14007710.0,765,33535120.0
2023-11-06,61568.53,0.0,137561.18,39959.42,76612.86,2201669.16,1541365.53,12648.34,330,13758100.0,715,32640390.0
2023-11-13,43258.259999999995,0.0,272405.94,52858.29,109170.76,2333819.07,1446789.93,10617.04,326,11478244.99761439,725,31712694.99761439
2023-11-20,91079.4,0.0,226617.44,47665.3,105918.1,1735749.24,1491062.56,11139.25,641,31469755.0,1430,79357028.0
2023-11-27,93469.54,0.0,208688.81,43797.38,79564.56,2924505.3,2150422.63,11079.06,894,44349890.0,1753,96563460.0
2023-12-04,121270.48,0.0,320697.14,45980.67,68920.73,3779271.33,4655372.97,5577.63,1474,70469970.9811162,2610,142349095.9811162
2023-12-11,339279.49,0.0,824828.4299999999,38914.05,54716.07,4473551.1,10521343.37,16061.73,2535,104083680.0,4445,205214416.0
2023-12-18,595247.59,0.0,1572781.57,50488.99,79501.88,6651078.29,9102892.67,17909.17,1994,70844759.7164742,3889,160654259.7164742
2023-12-25,195025.83,0.0,664817.62,42614.36,61713.7,1621273.35,1199406.83,2480.42,396,13536310.0,836,34255780.0
2024-01-01,137272.63,0.0,260797.54,84981.14,68385.06,1222737.43,1052983.24,2425.38,442,15270520.0,914,34442186.0
2024-01-08,157679.68,0.0,212352.52,61984.73,68744.74,1217482.3,1687212.1400000001,3194.54,448,14025110.0,903,33942175.0
2024-01-15,188537.94,0.0,218590.006502749,61564.94,67224.20999999999,1110276.1400000001,1312120.54,2257.36,489,15982706.020029679,952,35647136.02002968
2024-01-22,111213.13,0.0,239874.32,59058.92,64746.4,1593678.65,1891096.27,2601.09,405,14033280.0,829,33263153.0
2024-01-29,137742.72,0.0,273363.12,67338.93,69034.66,1988877.3,3124893.94,4960.9800000000005,496,16396740.0,1050,43255530.0
2024-02-05,148910.86,0.0,314558.42000000004,74679.04,75843.47,1614357.92,3356425.3000000003,3441.94,556,18810634.56353434,1034,41200124.56353434
2024-02-12,116064.05,0.0,200226.724038469,51069.23,47634.6,1678923.6,3127990.8,4675.66,600,20346592.938676238,1077,41628612.93867624
2024-02-19,225282.84,0.0,416318.36,59994.44,99122.24,1670056.28,3998353.74,3908.04,470,18911916.0,922,41277346.0
2024-02-26,173343.63,0.0,349179.42,90400.88,69639.98999999999,1564687.72,4785114.49,5492.96,632,24355173.0,1177,50047403.0
2024-03-04,146127.14,0.0,272163.18,72817.91,75998.76000000001,1429941.98,4579943.25,8664.880000000001,568,22261953.0,1044,46725633.0
2024-03-11,148727.82,0.0,321155.42,79831.41,78027.34999999999,1641934.9,3736720.32,5575.72,410,19488420.0,842,45960906.0
2024-03-18,158389.44,0.0,281694.69,77087.23,76116.64,1920333.56,2731954.92,6837.52,421,20939472.32363167,885,49693412.323631674
2024-03-25,144844.95,0.0,264263.21,71646.13,71324.64,1671235.09,2932037.66,11946.25,393,19875500.0,842,47774244.0
2024-04-01,141176.68,0.0,261565.3,79685.29,79225.98999999999,1558810.53,3215195.23,5252.22,589,33207450.0,1218,72376970.0
2024-04-08,148539.66999999998,0.0,353867.91,82751.27,78697.91,2433697.0,5871357.0,13489.0,523,32011260.0,1148,72995390.0
2024-04-15,156191.13,0.0,374210.3,75987.54,76886.17,2273393.0,4470127.0,7754.0,521,34326410.0,1099,76228906.0
2024-04-22,166999.16,0.0,463204.13,73525.42,73627.2,2161644.0,4859772.0,6505.0,531,34454660.0,1175,82529485.0
2024-04-29,169956.07,0.0,599318.83,75085.42,74071.83,2490941.0,6657447.0,9635.0,874,59554865.5626594,1815,131897988.5626594
2024-05-06,272725.22,0.0,1267464.46,74593.20999999999,74346.09,2751821.7800000003,10509125.22,13126.0,993,72673746.0,1979,150045737.7461875
2024-05-13,222655.59,0.0,1600974.0,77637.41,77269.69,3397688.0,11000380.0,13446.0,855,56204326.81832247,1692,116228487.8183225
2024-05-20,144635.5,0.0,1123326.45,76556.17,72880.0,2011633.0,6770201.0,7733.0,692,44706380.0,1372,91393020.0
2024-05-27,160964.25,0.0,1366099.13,70704.17,70907.16,1933979.0,6740659.0,8338.0,557,32308463.0,1421,105511093.0
